Code,Title,Chapter_Block,Category,provider_state
G81,Hemiplegia,G80-G83,category,TX
G81,Hemiplegia,G80-G83,category,NY
G81,Hemiplegia,G80-G83,category,OK
G81,Hemiplegia,G80-G83,category,ND
G81,Hemiplegia,G80-G83,category,ID
G81,Hemiplegia,G80-G83,category,IN
G81,Hemiplegia,G80-G83,category,PA
G81,Hemiplegia,G80-G83,category,NE
G81,Hemiplegia,G80-G83,category,OR
G81,Hemiplegia,G80-G83,category,LA
G81,Hemiplegia,G80-G83,category,GA
G81,Hemiplegia,G80-G83,category,MI
G81,Hemiplegia,G80-G83,category,NV
G81,Hemiplegia,G80-G83,category,OH
G81,Hemiplegia,G80-G83,category,FL
G81,Hemiplegia,G80-G83,category,IL
G81,Hemiplegia,G80-G83,category,IA
G81,Hemiplegia,G80-G83,category,AZ
G81,Hemiplegia,G80-G83,category,CA
T79,"Certain early complications of trauma, not elsewhere classified",T79-T79,category,TX
T79,"Certain early complications of trauma, not elsewhere classified",T79-T79,category,OK
T79,"Certain early complications of trauma, not elsewhere classified",T79-T79,category,PA
T79,"Certain early complications of trauma, not elsewhere classified",T79-T79,category,IN
T79,"Certain early complications of trauma, not elsewhere classified",T79-T79,category,IA
T79,"Certain early complications of trauma, not elsewhere classified",T79-T79,category,OR
T79,"Certain early complications of trauma, not elsewhere classified",T79-T79,category,FL
T79,"Certain early complications of trauma, not elsewhere classified",T79-T79,category,ID
T79,"Certain early complications of trauma, not elsewhere classified",T79-T79,category,GA
T79,"Certain early complications of trauma, not elsewhere classified",T79-T79,category,IL
T79,"Certain early complications of trauma, not elsewhere classified",T79-T79,category,MI
T79,"Certain early complications of trauma, not elsewhere classified",T79-T79,category,NE
T79,"Certain early complications of trauma, not elsewhere classified",T79-T79,category,NV
T79,"Certain early complications of trauma, not elsewhere classified",T79-T79,category,CA
T79,"Certain early complications of trauma, not elsewhere classified",T79-T79,category,NY
I02,Rheumatic chorea,I00-I02,category,TX
I02,Rheumatic chorea,I00-I02,category,OK
I02,Rheumatic chorea,I00-I02,category,NY
I02,Rheumatic chorea,I00-I02,category,GA
I02,Rheumatic chorea,I00-I02,category,ND
I02,Rheumatic chorea,I00-I02,category,PA
I02,Rheumatic chorea,I00-I02,category,ID
I02,Rheumatic chorea,I00-I02,category,LA
I02,Rheumatic chorea,I00-I02,category,NE
I02,Rheumatic chorea,I00-I02,category,FL
I02,Rheumatic chorea,I00-I02,category,MI
I02,Rheumatic chorea,I00-I02,category,OR
I02,Rheumatic chorea,I00-I02,category,IN
I02,Rheumatic chorea,I00-I02,category,IL
I02,Rheumatic chorea,I00-I02,category,OH
I02,Rheumatic chorea,I00-I02,category,AZ
I02,Rheumatic chorea,I00-I02,category,NV
I02,Rheumatic chorea,I00-I02,category,AL
I02,Rheumatic chorea,I00-I02,category,IA
I02,Rheumatic chorea,I00-I02,category,CA
I02,Rheumatic chorea,I00-I02,category,UT
D18,"Haemangioma and lymphangioma, any site",D10-D36,category,TX
D18,"Haemangioma and lymphangioma, any site",D10-D36,category,OK
D18,"Haemangioma and lymphangioma, any site",D10-D36,category,NY
D18,"Haemangioma and lymphangioma, any site",D10-D36,category,PA
D18,"Haemangioma and lymphangioma, any site",D10-D36,category,KS
D18,"Haemangioma and lymphangioma, any site",D10-D36,category,GA
D18,"Haemangioma and lymphangioma, any site",D10-D36,category,LA
D18,"Haemangioma and lymphangioma, any site",D10-D36,category,ND
D18,"Haemangioma and lymphangioma, any site",D10-D36,category,NE
D18,"Haemangioma and lymphangioma, any site",D10-D36,category,IN
D18,"Haemangioma and lymphangioma, any site",D10-D36,category,OR
D18,"Haemangioma and lymphangioma, any site",D10-D36,category,MI
D18,"Haemangioma and lymphangioma, any site",D10-D36,category,ID
D18,"Haemangioma and lymphangioma, any site",D10-D36,category,OH
D18,"Haemangioma and lymphangioma, any site",D10-D36,category,AL
D18,"Haemangioma and lymphangioma, any site",D10-D36,category,FL
D18,"Haemangioma and lymphangioma, any site",D10-D36,category,NV
D18,"Haemangioma and lymphangioma, any site",D10-D36,category,IL
D18,"Haemangioma and lymphangioma, any site",D10-D36,category,AZ
D18,"Haemangioma and lymphangioma, any site",D10-D36,category,IA
D18,"Haemangioma and lymphangioma, any site",D10-D36,category,CA
